"calendarDate","Pregnancy","NonUser","ModernMethod","Traditional","meanModern_W","meanAge_W","meanEverMarried_W","meanHadChild_W","yearSurv","surv"
1261,1194,5664,203,24,0.0335432744053782,28.8410899448689,0.855710838182367,0.820397853785847,2011,"SNIR61FL"
1262,1057,5788,221,33,0.0367759265840205,28.8337661192366,0.857258534402935,0.819784298720637,2011,"SNIR61FL"
1263,1066,5788,255,34,0.0405588475828285,28.774313515655,0.856154024270273,0.818784408886715,2011,"SNIR61FL"
1264,1072,5811,273,34,0.0435374380904616,28.7116470917888,0.855864259058268,0.81813219944902,2011,"SNIR61FL"
1265,1215,5725,264,37,0.0429943331613007,28.6653616944668,0.857626274533128,0.815980814714141,2011,"SNIR61FL"
1266,1227,5751,263,40,0.043049739591745,28.6201961269352,0.857740244331884,0.813108569953209,2011,"SNIR61FL"
1267,1265,5746,263,40,0.0424132615485183,28.569358263464,0.856749814781205,0.811100183592262,2011,"SNIR61FL"
1268,1316,5734,265,42,0.0425557292491973,28.5260187375529,0.857020629539241,0.809462645487102,2011,"SNIR61FL"
1269,1299,5796,267,42,0.0417369981857077,28.5200758364699,0.856212357095082,0.808322064708533,2011,"SNIR61FL"
1270,1286,5845,266,44,0.0415516280791432,28.4975320703779,0.857047097424154,0.808867293982248,2011,"SNIR61FL"
1271,1263,5901,276,45,0.043008613023565,28.504396341647,0.859147075196623,0.811400555186114,2011,"SNIR61FL"
1272,1269,5932,273,46,0.042943208314016,28.5179593384236,0.862734761417503,0.811733062612926,2011,"SNIR61FL"
1273,1311,5909,284,49,0.0458650323881249,28.5186990274772,0.863716052110315,0.814046126729256,2011,"SNIR61FL"
1274,1203,6025,300,47,0.04546489213611,28.5287640251138,0.862720919226226,0.812439290184619,2011,"SNIR61FL"
1275,1209,6048,308,47,0.0475701878569436,28.5104184739558,0.862771067147206,0.811262176551983,2011,"SNIR61FL"
1276,1196,6072,319,45,0.0493685595540344,28.5273808801989,0.864508574148677,0.811145311743811,2011,"SNIR61FL"
1277,1307,5975,320,45,0.0524978780279222,28.5585585706335,0.865488399259211,0.810979772806501,2011,"SNIR61FL"
1278,1344,5953,331,45,0.0535286847500552,28.5734245602332,0.866211191031931,0.810043117566394,2011,"SNIR61FL"
1279,1385,5925,331,44,0.0529875965707439,28.6057889913714,0.867546054244153,0.810563346211905,2011,"SNIR61FL"
1280,1416,5918,332,45,0.0516793275516817,28.6094907286614,0.867869880380582,0.810224618518828,2011,"SNIR61FL"
1281,1399,5957,339,44,0.0522367747341282,28.617713599779,0.867633396550193,0.811664767060804,2011,"SNIR61FL"
1282,1331,6039,346,45,0.053428715126274,28.6562576813521,0.869002884853574,0.815027699008869,2011,"SNIR61FL"
1283,1308,6077,348,45,0.0534791177570609,28.6741074195218,0.869390614924242,0.815853409176598,2011,"SNIR61FL"
1284,1336,6065,352,44,0.0539855812190506,28.6974385014494,0.871517333087629,0.815251799705279,2011,"SNIR61FL"
1285,622,3028,176,23,0.0622569847057376,28.4901637980609,0.872684026754443,0.817019911350686,2013,"SNIR6DFL"
1285,1396,5992,376,42,0.0573485360473173,28.7112169648697,0.871236123440281,0.816592989895704,2011,"SNIR61FL"
1286,686,2977,181,23,0.0615233571506003,28.509041956716,0.874406282473098,0.815859606670216,2013,"SNIR6DFL"
1286,1326,6072,387,44,0.0594874802571068,28.7245889542397,0.87307097419459,0.818993745798719,2011,"SNIR61FL"
1287,720,2954,183,22,0.0622290921820148,28.4854159855561,0.873502749683793,0.814015067998653,2013,"SNIR6DFL"
1287,1348,6072,388,45,0.0597299576102649,28.7402045955477,0.875467744077836,0.820327444950628,2011,"SNIR61FL"
1288,728,2945,193,26,0.06494582201013,28.4767696317591,0.872598239400057,0.811269448862091,2013,"SNIR6DFL"
1288,1365,6079,393,46,0.0606703405114725,28.7535003640947,0.876307703752938,0.819999929195322,2011,"SNIR61FL"
1289,750,2921,201,26,0.067503050950819,28.402352101765,0.868525561402564,0.809109352870139,2013,"SNIR6DFL"
1289,1454,5994,401,47,0.0609581085453466,28.7761826612091,0.876934650002068,0.821523952569096,2011,"SNIR61FL"
1290,761,2934,194,26,0.0651971737232133,28.3815313412768,0.871436531244601,0.809983074846864,2013,"SNIR6DFL"
1290,1494,5964,407,47,0.0618711604467921,28.7970776839834,0.877538092060878,0.820855218711332,2011,"SNIR61FL"
1291,776,2926,201,28,0.0665869271387437,28.3441809190489,0.872592864809323,0.809117418721865,2013,"SNIR6DFL"
1291,1543,5937,404,48,0.0618876950058012,28.8204631924263,0.879232098140904,0.821436856365517,2011,"SNIR61FL"
1292,767,2954,206,27,0.0684730524344681,28.3006221266997,0.87509370554184,0.807752394476203,2013,"SNIR6DFL"
1292,1593,5914,417,46,0.0631168594040699,28.8571921314663,0.882443230621274,0.821933586005114,2011,"SNIR61FL"
1293,785,2962,210,26,0.0685542262557933,28.2580479404272,0.872167473883237,0.805961511891029,2013,"SNIR6DFL"
1293,1563,5961,417,49,0.0633704860336394,28.9036542819348,0.884889598759471,0.823682662600445,2011,"SNIR61FL"
1294,768,2993,214,27,0.0710173061830469,28.245370631162,0.870722564609389,0.808339071012404,2013,"SNIR6DFL"
1294,1495,6040,421,51,0.0641021530182391,28.9401296341175,0.884209885394689,0.826098493885628,2011,"SNIR61FL"
1295,705,3080,213,28,0.0697500719709482,28.1930644273377,0.872547696570157,0.807913096588079,2013,"SNIR6DFL"
1295,1431,6088,444,51,0.0668969907248251,28.9685213210596,0.885908121036205,0.827791380290416,2011,"SNIR61FL"
1296,704,3085,224,30,0.0718922972810199,28.2129377346402,0.87335882565159,0.808036722541646,2013,"SNIR6DFL"
1296,1421,6113,452,53,0.0682253044544605,29.0013812952796,0.890534533469235,0.830790276539738,2011,"SNIR61FL"
1297,736,3061,229,26,0.0749635507377446,28.2158167685746,0.87402653347964,0.808237924736328,2013,"SNIR6DFL"
1297,1438,6120,462,53,0.070103511974238,29.0070202034214,0.891330895990184,0.834784343471922,2011,"SNIR61FL"
1298,773,3028,235,27,0.0774456061649073,28.1979718519172,0.873263680792206,0.80878283964029,2013,"SNIR6DFL"
1298,1411,6174,472,53,0.0722356288180571,29.009096699515,0.891714561576638,0.835814457015519,2011,"SNIR61FL"
1299,792,3013,245,27,0.0796386190223868,28.2258539032871,0.875682166714796,0.811477956926964,2013,"SNIR6DFL"
1299,1418,6178,482,52,0.0738511016626,28.9864889242093,0.89175401584474,0.83448035167809,2011,"SNIR61FL"
1300,790,3020,246,27,0.0802564313781487,28.2377664061143,0.876089660665311,0.813992907665424,2013,"SNIR6DFL"
1300,1431,6197,477,52,0.0716910851616993,28.9953035097175,0.893393712697318,0.835166179054385,2011,"SNIR61FL"
1301,814,2997,244,28,0.0798946812130268,28.2503866927004,0.876340434251291,0.814769142332978,2013,"SNIR6DFL"
1301,1482,6184,472,54,0.0709222476451035,28.9944991571787,0.895431965561249,0.835980043206619,2011,"SNIR61FL"
1302,828,2983,253,32,0.0821510593138605,28.2898303110756,0.877362396558027,0.81578867634677,2013,"SNIR6DFL"
1302,1474,6196,477,52,0.0732832349701304,29.0134208785676,0.896704624252032,0.835945044211269,2011,"SNIR61FL"
1303,835,2988,255,31,0.0812821631667783,28.323845480693,0.879750431278793,0.815453942746446,2013,"SNIR6DFL"
1303,1515,6170,483,52,0.0764533991336037,28.9942435804279,0.898738103676379,0.836316098784028,2011,"SNIR61FL"
1304,860,2969,258,30,0.0822304949609423,28.3576739790413,0.880888077028473,0.815942632454348,2013,"SNIR6DFL"
1304,1533,6165,493,52,0.078104234298815,29.0103933569193,0.899220295988517,0.837925133683213,2011,"SNIR61FL"
1305,848,2989,261,30,0.0822905232881987,28.3901109472908,0.882489679013434,0.8221388432663,2013,"SNIR6DFL"
1305,1476,6236,496,56,0.0782550164921513,29.0292685592168,0.900733407074417,0.841262114651667,2011,"SNIR61FL"
1306,818,3033,256,30,0.0803610244134831,28.4049869912806,0.884320077970224,0.827964822435024,2013,"SNIR6DFL"
1306,1392,6326,514,56,0.0816811068154928,29.0412770665179,0.901255762470416,0.844915808383079,2011,"SNIR61FL"
1307,787,3063,271,31,0.0832181922996798,28.4212842739263,0.88351157619349,0.828639323022212,2013,"SNIR6DFL"
1307,1351,6378,512,57,0.0798591090409865,29.0756431969802,0.902429495443114,0.847083529539063,2011,"SNIR61FL"
1308,802,3046,278,32,0.0840785387390116,28.459503262837,0.884971484594608,0.828948015484933,2013,"SNIR6DFL"
1308,1349,6393,525,57,0.0812801003697976,29.1103402672403,0.902966625922699,0.84956189062433,2011,"SNIR61FL"
1309,734,3188,185,14,0.0626977632164922,28.5369631761837,0.856313614102451,0.786199770651286,2014,"SNIR70FL"
1309,840,3009,288,31,0.0835058534433397,28.5024811270012,0.887679355640417,0.830994377660449,2013,"SNIR6DFL"
1309,1420,6319,532,56,0.0811685381333567,29.1164283319313,0.903363277103058,0.850170142256283,2011,"SNIR61FL"
1310,764,3160,201,14,0.0677889546933593,28.5104756330411,0.857095635807757,0.786406475233069,2014,"SNIR70FL"
1310,873,2985,287,29,0.0843686868614106,28.5456520938149,0.889533446082053,0.832543648854889,2013,"SNIR6DFL"
1310,1404,6345,534,56,0.0813353021866584,29.1551057150874,0.907091748152329,0.850981803993138,2011,"SNIR61FL"
1311,779,3142,212,12,0.069223698655851,28.4778211226616,0.85834699929123,0.785922125774388,2014,"SNIR70FL"
1311,880,2976,296,29,0.0867540084248249,28.5730241144076,0.892386692975486,0.834881412293537,2013,"SNIR6DFL"
1311,1453,6286,545,59,0.0827897901085157,29.1763336081467,0.908631877886588,0.853727654677649,2011,"SNIR61FL"
1312,789,3141,218,12,0.0698045303543097,28.5177891470661,0.861970537002529,0.785943209389521,2014,"SNIR70FL"
1312,909,2962,295,30,0.0854900487125671,28.555327977894,0.892169225328578,0.835294794112427,2013,"SNIR6DFL"
1312,1497,6247,549,63,0.0837987857864311,29.1999587645145,0.909669853374159,0.853088269742564,2011,"SNIR61FL"
1313,806,3126,225,13,0.0693606226180125,28.5166629463574,0.860718756645854,0.784017958870507,2014,"SNIR70FL"
1313,888,2999,303,30,0.0886920668402017,28.5582160391613,0.893114481545429,0.833984186758672,2013,"SNIR6DFL"
1313,1555,6207,545,63,0.0836862831394409,29.2346413700204,0.910810237623376,0.853990825569976,2011,"SNIR61FL"
1314,830,3125,228,14,0.0699666177077376,28.5132977730066,0.858286267067091,0.782145683614373,2014,"SNIR70FL"
1314,892,3008,305,28,0.0895517495124309,28.5303282650176,0.893886401119206,0.833810978524057,2013,"SNIR6DFL"
1314,1646,6127,550,62,0.0853628892394753,29.2504627121352,0.911741429794229,0.854624189857865,2011,"SNIR61FL"
1315,862,3097,229,14,0.0698409985336963,28.5168908131167,0.862443133608049,0.784854596829052,2014,"SNIR70FL"
1315,904,2989,324,29,0.0946609324037656,28.5551532618893,0.895693891559413,0.835279952196869,2013,"SNIR6DFL"
1315,1686,6091,550,60,0.0843620466497365,29.2896186745403,0.913265196531059,0.855694049525478,2011,"SNIR61FL"
1316,864,3093,241,14,0.0716345874865535,28.5457191766703,0.865000726552847,0.790568577030599,2014,"SNIR70FL"
1316,888,3009,332,28,0.0953563573968876,28.5606925711648,0.895996390177142,0.835566422554076,2013,"SNIR6DFL"
1316,1682,6085,569,61,0.0883130232382947,29.3282271004244,0.915640849244344,0.858405623746509,2011,"SNIR61FL"
1317,809,3164,250,15,0.0740004853037089,28.5506742357391,0.866743173530461,0.792051662939097,2014,"SNIR70FL"
1317,833,3070,342,27,0.0972777355063185,28.5551520515705,0.894317346104372,0.838102447765048,2013,"SNIR6DFL"
1317,1640,6144,574,63,0.0890161315448464,29.3659952555411,0.916335088044585,0.862492107940161,2011,"SNIR61FL"
1318,774,3204,260,17,0.0779269850245803,28.5602311748639,0.865300414857779,0.795578847432816,2014,"SNIR70FL"
1318,779,3133,353,27,0.0996747192827039,28.5853857100729,0.896019476418158,0.84074589698734,2013,"SNIR6DFL"
1318,1531,6250,588,68,0.0891711976443601,29.408141699615,0.918837241359651,0.864466184828075,2011,"SNIR61FL"
1319,724,3260,265,19,0.0781429026157902,28.5689350407521,0.866706474873196,0.797123948549334,2014,"SNIR70FL"
1319,731,3189,357,29,0.100758101209912,28.6205222690324,0.89892198634489,0.843223603741743,2013,"SNIR6DFL"
1319,1458,6307,611,69,0.0925765709026235,29.4677822178094,0.922768733871503,0.869522358632099,2011,"SNIR61FL"
1320,741,3260,267,20,0.078759934875919,28.5750737040707,0.867125305463973,0.795255156225855,2014,"SNIR70FL"
1320,781,3146,362,26,0.102211503051401,28.6257476122285,0.901464370998696,0.845216367834354,2013,"SNIR6DFL"
1320,1499,6270,628,68,0.0926658542146689,29.4791824263844,0.926800114804515,0.871363360794999,2011,"SNIR61FL"
1321,763,3223,289,17,0.0873554954875266,28.5712020895194,0.86811327882517,0.796314242064099,2014,"SNIR70FL"
1321,772,3325,231,22,0.0661923761117489,28.4290046578089,0.859034741515095,0.807657479108605,2015,"SNIR7HFL"
1321,783,3150,364,26,0.101175693144232,28.6164549007557,0.902398493461011,0.845389698820902,2013,"SNIR6DFL"
1321,1543,6187,657,72,0.0962396285032606,29.4582521247406,0.928249703609684,0.873270178831802,2011,"SNIR61FL"
1322,794,3298,239,22,0.0679357971033933,28.4610197141949,0.861552984471976,0.808354233351099,2015,"SNIR7HFL"
1322,804,3176,298,18,0.0903004395404749,28.5784778221917,0.868842346802707,0.795042891217922,2014,"SNIR70FL"
1322,825,3105,372,27,0.103443037148731,28.62277203993,0.903789169395742,0.84631741651578,2013,"SNIR6DFL"
1322,1615,6121,669,76,0.0966860568397444,29.4359329479694,0.927065182083301,0.874700728897087,2011,"SNIR61FL"
1323,809,3167,301,20,0.0953382910582883,28.6067999655361,0.871794920845343,0.796628800352835,2014,"SNIR70FL"
1323,811,3275,253,22,0.0720685794195329,28.4917624707459,0.863906134667877,0.808510581628983,2015,"SNIR7HFL"
1323,845,3083,382,27,0.107315469738859,28.6229967454485,0.90679213885987,0.847255537441584,2013,"SNIR6DFL"
1323,1618,6098,694,80,0.100134504003754,29.3991531038155,0.929902770210493,0.87499877282462,2011,"SNIR61FL"
1324,811,3168,298,19,0.09487520965831,28.6309097356798,0.873838703637776,0.800411300957479,2014,"SNIR70FL"
1324,832,3260,256,21,0.0734060735517082,28.51043112995,0.864499844722658,0.81152044014788,2015,"SNIR7HFL"
1324,843,3088,382,27,0.108041064000351,28.6273140340584,0.906374947867963,0.846628604583424,2013,"SNIR6DFL"
1324,1639,6049,716,77,0.102045613152304,29.354086371576,0.931514305951983,0.875653320242744,2011,"SNIR61FL"
1325,834,3145,301,19,0.0954310113971695,28.657720397611,0.878285609642728,0.801293069784075,2014,"SNIR70FL"
1325,843,3249,269,21,0.0773168684373794,28.5091012876822,0.864923920996335,0.810555996692475,2015,"SNIR7HFL"
1325,871,3045,399,27,0.113734436768883,28.6621083532256,0.907421281172048,0.846100932430818,2013,"SNIR6DFL"
1325,1714,5971,726,78,0.103739501793191,29.3214087976962,0.93257209685634,0.876900001068245,2011,"SNIR61FL"
1326,853,3230,278,23,0.079147313378256,28.5212916272761,0.867245650168395,0.810163100241828,2015,"SNIR7HFL"
1326,870,3120,302,20,0.0939924297033847,28.6962096603825,0.879418794603411,0.802771534566571,2014,"SNIR70FL"
1326,882,3036,404,27,0.114132857141278,28.6629672065041,0.907178880132604,0.844730057424145,2013,"SNIR6DFL"
1326,1752,5959,727,74,0.101776819650065,29.281394498586,0.934137234676746,0.876852152279943,2011,"SNIR61FL"
1327,849,3237,281,27,0.078059976439487,28.541463284595,0.868764566504704,0.811100074237792,2015,"SNIR7HFL"
1327,864,3141,304,18,0.0934006492136337,28.7029176956377,0.877381036575232,0.800251701546358,2014,"SNIR70FL"
1327,897,3038,405,27,0.114905736195402,28.6845866425025,0.909964899271725,0.845095695117594,2013,"SNIR6DFL"
1327,1763,5955,742,78,0.105420235110251,29.2754999373519,0.935112561806947,0.876682092125995,2011,"SNIR61FL"
1328,855,3236,287,27,0.0789569423527251,28.5781202327299,0.871149233119418,0.812561275670919,2015,"SNIR7HFL"
1328,873,3141,307,18,0.0956857558517151,28.7340106026714,0.87836347908682,0.80136611739935,2014,"SNIR70FL"
1328,920,3036,394,27,0.111920883069652,28.6747459756793,0.910488009095653,0.848539378877978,2013,"SNIR6DFL"
1328,1786,5915,785,76,0.109494687877344,29.2703941720488,0.937570837342111,0.879130036793785,2011,"SNIR61FL"
1329,816,3273,301,29,0.0825217042776408,28.5992200269512,0.871760261036774,0.814780950985083,2015,"SNIR7HFL"
1329,853,3110,394,34,0.110900814043383,28.6709280291818,0.91119717837343,0.849904249022928,2013,"SNIR6DFL"
1329,872,3139,318,19,0.0981959176600471,28.7419682519008,0.879828718966035,0.80690817210807,2014,"SNIR70FL"
1329,1678,5997,819,76,0.111938379504734,29.2490016774041,0.940603960212017,0.881533417115258,2011,"SNIR61FL"
1330,794,3305,305,31,0.0823424973654823,28.6234887780922,0.872290674964089,0.816049120220864,2015,"SNIR7HFL"
1330,797,3172,401,36,0.112386560179727,28.6956869730691,0.912337400812375,0.85168984026779,2013,"SNIR6DFL"
1330,833,3172,326,22,0.100538725897128,28.7527560978001,0.8798821472879,0.808077952954763,2014,"SNIR70FL"
1330,1595,6057,871,78,0.116715272320117,29.2275528600019,0.942608437860891,0.883841346140267,2011,"SNIR61FL"
1331,751,3211,409,38,0.112693845233147,28.7022186161761,0.913439587955162,0.850795212814926,2013,"SNIR6DFL"
1331,755,3350,303,31,0.0830783648424191,28.6564972990871,0.874583683679644,0.82083897703166,2015,"SNIR7HFL"
1331,770,3235,330,25,0.103233275635786,28.7864147133221,0.881931266889102,0.810974153913274,2014,"SNIR70FL"
1331,1374,5906,802,71,0.105680035010623,29.0454524424248,0.949368618130501,0.890771239570146,2011,"SNIR61FL"
1332,764,3342,314,31,0.0867135982714883,28.6811901808369,0.878423283739801,0.824106325230106,2015,"SNIR7HFL"
1332,782,3176,416,42,0.114321815521085,28.7382425125318,0.917942122042521,0.853175130462985,2013,"SNIR6DFL"
1332,784,3232,334,26,0.103288652269794,28.7854204609921,0.881718028388363,0.812007033010613,2014,"SNIR70FL"
1333,664,3264,280,27,0.0812964760095218,28.5060832026514,0.863585641621303,0.802607105838972,2016,"SNIR7IFL"
1333,775,3335,317,31,0.0894080361488436,28.6992086340874,0.880605021958006,0.826785213281651,2015,"SNIR7HFL"
1333,782,3233,336,28,0.103042113363187,28.8171454729244,0.88233728992064,0.813093364444794,2014,"SNIR70FL"
1333,816,3143,422,42,0.113118413355655,28.749837518836,0.917107020237019,0.852144265600993,2013,"SNIR6DFL"
1334,678,3252,283,27,0.0822131333866286,28.5045899245832,0.86454595251365,0.804251196129842,2016,"SNIR7IFL"
1334,793,3310,314,36,0.086520162069184,28.7135355742263,0.882079460351689,0.828849483056379,2015,"SNIR7HFL"
1334,812,3219,331,27,0.101176725427655,28.8422122465028,0.885184680730803,0.815917249710528,2014,"SNIR70FL"
1334,846,3118,428,41,0.116488807854686,28.783584153727,0.919221727258362,0.853569564492192,2013,"SNIR6DFL"
1335,682,3248,289,28,0.0854398150127261,28.5081144884502,0.865356427300139,0.803817252309467,2016,"SNIR7IFL"
1335,812,3282,322,38,0.087497897381356,28.7193583709393,0.883180754260589,0.829674143839576,2015,"SNIR7HFL"
1335,831,3191,343,27,0.103259989493295,28.8960008155551,0.887058880725961,0.8193613646287,2014,"SNIR70FL"
1335,872,3085,442,44,0.120188310286711,28.8157500617362,0.91892178904942,0.854691230307034,2013,"SNIR6DFL"
1336,705,3229,294,28,0.0867126443774716,28.5590141271678,0.866160200873393,0.804061410445756,2016,"SNIR7IFL"
1336,822,3259,337,40,0.0930601010979413,28.7491851122283,0.883428021737153,0.831096698831739,2015,"SNIR7HFL"
1336,841,3174,360,30,0.105503939514244,28.9425679208565,0.886604812025044,0.820305322177236,2014,"SNIR70FL"
1336,890,3072,443,45,0.120422554730658,28.8650238983287,0.919203262632982,0.857954104541995,2013,"SNIR6DFL"
1337,724,3198,311,29,0.0905405325452687,28.5869570450924,0.868765273432676,0.802300192862713,2016,"SNIR7IFL"
1337,858,3220,348,40,0.0936998839361809,28.7701449171493,0.883881124504194,0.83376925366657,2015,"SNIR7HFL"
1337,870,3149,361,29,0.107986578366443,28.9668018925252,0.889268728294831,0.823814262574924,2014,"SNIR70FL"
1337,887,3078,449,47,0.12294423498383,28.8995383046549,0.920001290701572,0.860228786585546,2013,"SNIR6DFL"
1338,751,3183,313,29,0.0900904975467166,28.578378717724,0.869563024352986,0.799188529956984,2016,"SNIR7IFL"
1338,867,3156,360,30,0.105970147577269,28.9815812676044,0.889715941712158,0.824044691436639,2014,"SNIR70FL"
1338,871,3196,362,39,0.09543184444856,28.8069716317591,0.883754864463794,0.834710296024872,2015,"SNIR7HFL"
1338,921,3045,454,47,0.123038119231875,28.9437858760426,0.921404713618246,0.86194873412271,2013,"SNIR6DFL"
1339,780,3154,314,30,0.0904690509461003,28.6021961944698,0.870403687547088,0.798855887050314,2016,"SNIR7IFL"
1339,871,3195,362,42,0.096137866135523,28.8572192771644,0.885134904261713,0.836621839230465,2015,"SNIR7HFL"
1339,880,3141,372,32,0.105019086109141,29.0343111789969,0.890954927875654,0.825484303578547,2014,"SNIR70FL"
1339,958,3009,461,49,0.125436805771101,29.0092824066623,0.924650314140268,0.862647956752648,2013,"SNIR6DFL"
1340,813,3136,308,31,0.0887702060149517,28.6470012089795,0.87115110107746,0.804352696709818,2016,"SNIR7IFL"
1340,908,3160,369,43,0.0977693452241937,28.8883290075754,0.886160251486502,0.838461196073619,2015,"SNIR7HFL"
1340,909,3122,380,32,0.106969800918107,29.0404862925635,0.891457683943886,0.827620553710551,2014,"SNIR70FL"
1340,957,3015,463,51,0.124842929793717,29.0455253536341,0.924802784149197,0.866026296147777,2013,"SNIR6DFL"
1341,780,3170,316,30,0.0904864410471256,28.6826659192469,0.874771097325145,0.807416774984028,2016,"SNIR7IFL"
1341,865,3181,384,34,0.108841364573918,29.0683464684716,0.892180143679139,0.82847006143707,2014,"SNIR70FL"
1341,882,3194,370,47,0.0982487752859998,28.932530515069,0.888869478535237,0.839673548866046,2015,"SNIR7HFL"
1341,912,3054,471,53,0.127313700501598,29.0854162429909,0.926116344338875,0.870762876075786,2013,"SNIR6DFL"
1342,774,3189,320,28,0.090768460444705,28.6945443327029,0.87607202420821,0.808515542985999,2016,"SNIR7IFL"
1342,852,3197,392,33,0.113410367192403,29.0788849283278,0.894284298946401,0.832687757178923,2014,"SNIR70FL"
1342,869,3218,378,48,0.100417360230407,28.9312252688595,0.890001624515038,0.84224466578333,2015,"SNIR7HFL"
1342,870,3100,477,52,0.128513333395597,29.1090730281668,0.927838287547725,0.870565030595169,2013,"SNIR6DFL"
